label,global_threshold,selected_threshold,offset,selection_reason,known_count,global_known_accept_rate,known_accept_rate,global_known_accuracy_on_all,known_accuracy_on_all,global_known_accuracy_on_accepted,known_accuracy_on_accepted,accepted_count,correct_accepted_count,global_known_precision_on_accepted,known_precision_on_accepted,recovered_correct_count,lost_correct_count,global_known_error_accept_count,known_error_accept_count,added_known_error_count,removed_known_error_count,class_unknown_count,global_unknown_false_accept_count,unknown_false_accept_count,added_unknown_accept_count,removed_unknown_false_accept_count,global_class_unknown_false_accept_rate,class_unknown_false_accept_rate,pre_budget_selected_threshold,rolled_back_for_global_unknown_budget,calibration_global_unknown_false_accept_count,calibration_dynamic_unknown_false_accept_count,calibration_allowed_unknown_false_accept_count,calibration_unknown_count,calibration_global_unknown_false_accept_rate,calibration_dynamic_unknown_false_accept_rate,min_class_unknown_samples,max_added_unknown_accepts,max_unknown_false_accept_rate_increase,max_raise_steps,target_class_unknown_false_accept_rate,max_known_correct_accept_rate_drop,known_false_reject_rate,predicted_known_count,predicted_known_accept_count,predicted_known_correct_accept_count,unknown_count,unknown_false_accept_rate,meets_target_accept_rate,meets_target_class_unknown_false_accept_rate,global_unknown_false_accept_rate,target_accept_rate
Adoralle__Adoralle Alimentos Laminados Doces Leite,0.71,0.71,0.0,keep_global,6,1.0,1.0,1.0,1.0,1.0,1.0,6,6,1.0,1.0,0,0,0,0,0,0,6,0,0,0,0,0.0,0.0,0.71,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.0,6,6,6,500,0.0,True,True,0.0,0.98
Adoralle__Adoralle Alimentos Rosquinhas Coco,0.71,0.71,0.0,keep_global,37,1.0,1.0,1.0,1.0,1.0,1.0,37,37,1.0,1.0,0,0,0,0,0,0,11,0,0,0,0,0.0,0.0,0.71,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.0,37,37,37,500,0.0,True,True,0.0,0.98
Adoralle__Adoralle Alimentos Rosquinhas Leite,0.71,0.71,0.0,keep_global,3,1.0,1.0,1.0,1.0,1.0,1.0,3,3,1.0,1.0,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.71,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.0,3,3,3,500,0.0,True,True,0.0,0.98
Emege__Emege Rosquinha Sabor Coco,0.71,0.71,0.0,keep_global,4,1.0,1.0,1.0,1.0,1.0,1.0,4,4,1.0,1.0,0,0,0,0,0,0,7,0,0,0,0,0.0,0.0,0.71,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.0,4,4,4,500,0.0,True,True,0.0,0.98
Mabel__Mabel Amanteigado Mabel Sabor Chocolate,0.71,0.71,0.0,keep_global,19,1.0,1.0,1.0,1.0,1.0,1.0,19,19,0.8260869565217391,0.8260869565217391,0,0,4,4,0,0,1,0,0,0,0,0.0,0.0,0.71,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.0,24,23,19,500,0.0,True,True,0.0,0.98
Mabel__Mabel Amanteigado Mabel Sabor Coco,0.71,0.71,0.0,keep_global,17,1.0,1.0,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,17,13,1.0,1.0,0,0,0,0,0,0,5,0,0,0,0,0.0,0.0,0.71,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.0,13,13,13,500,0.0,True,True,0.0,0.98
Mabel__Mabel Amanteigado Mabel Sabor Leite,0.71,0.71,0.0,keep_global,13,1.0,1.0,1.0,1.0,1.0,1.0,13,13,0.9285714285714286,0.9285714285714286,0,0,1,1,0,0,4,0,0,0,0,0.0,0.0,0.71,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.0,14,14,13,500,0.0,True,True,0.0,0.98
Mabel__Mabel BOX,0.71,0.71,0.0,keep_global,6,1.0,1.0,1.0,1.0,1.0,1.0,6,6,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.71,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.0,6,6,6,500,0.0,True,True,0.0,0.98
Mabel__Mabel Cookie Mabel Chocolate com gotas de chocolate,0.71,0.71,0.0,keep_global,4,0.75,0.75,0.75,0.75,1.0,1.0,3,3,0.6,0.6,0,0,2,2,0,0,2,0,0,0,0,0.0,0.0,0.71,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.25,5,5,3,500,0.0,False,True,0.0,0.98
Mabel__Mabel Cookie Mabel Original com gotas de chocolate,0.71,0.71,0.0,keep_global,3,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,1,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.71,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.0,1,1,1,500,0.0,True,True,0.0,0.98
Mabel__Mabel Cracker Agua e Sal,0.71,0.71,0.0,keep_global,8,1.0,1.0,1.0,1.0,1.0,1.0,8,8,0.8,0.8,0,0,2,2,0,0,6,0,0,0,0,0.0,0.0,0.71,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.0,10,10,8,500,0.0,True,True,0.0,0.98
Mabel__Mabel Cream Cracker,0.71,0.71,0.0,keep_global,26,1.0,1.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,26,24,1.0,1.0,0,0,0,0,0,0,5,0,0,0,0,0.0,0.0,0.71,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.0,24,24,24,500,0.0,True,True,0.0,0.98
Mabel__Mabel Laminado Doce Mabel Maisena,0.71,0.71,0.0,keep_global,29,1.0,1.0,1.0,1.0,1.0,1.0,29,29,1.0,1.0,0,0,0,0,0,0,10,0,0,0,0,0.0,0.0,0.71,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.0,29,29,29,500,0.0,True,True,0.0,0.98
Mabel__Mabel Laminado Doce Mabel Sabor Chocolate,0.71,0.71,0.0,keep_global,6,1.0,1.0,1.0,1.0,1.0,1.0,6,6,1.0,1.0,0,0,0,0,0,0,4,0,0,0,0,0.0,0.0,0.71,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.0,6,6,6,500,0.0,True,True,0.0,0.98
Mabel__Mabel Laminado Doce Mabel Sabor Leite,0.71,0.71,0.0,keep_global,21,1.0,1.0,1.0,1.0,1.0,1.0,21,21,0.9130434782608695,0.9130434782608695,0,0,2,2,0,0,6,0,0,0,0,0.0,0.0,0.71,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.0,23,23,21,500,0.0,True,True,0.0,0.98
Mabel__Mabel Recheado Mabel Sabor Chocolate,0.71,0.71,0.0,keep_global,4,1.0,1.0,0.75,0.75,0.75,0.75,4,3,0.75,0.75,0,0,1,1,0,0,5,0,0,0,0,0.0,0.0,0.71,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.0,4,4,3,500,0.0,True,True,0.0,0.98
Mabel__Mabel Recheado Mabel Sabor Morango,0.71,0.71,0.0,fallback_insufficient_unknown_support_keep_global,3,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.71,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.0,1,1,1,500,0.0,True,True,0.0,0.98
Mabel__Mabel Rosquinha Mabel Sabor Banana e Canela,0.71,0.71,0.0,keep_global,11,1.0,1.0,1.0,1.0,1.0,1.0,11,11,0.9166666666666666,0.9166666666666666,0,0,1,1,0,0,7,0,0,0,0,0.0,0.0,0.71,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.0,13,12,11,500,0.0,True,True,0.0,0.98
Mabel__Mabel Rosquinha Mabel Sabor Chocolate,0.71,0.71,0.0,fallback_insufficient_unknown_support_keep_global,12,1.0,1.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,12,11,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.71,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.0,11,11,11,500,0.0,True,True,0.0,0.98
Mabel__Mabel Rosquinha Mabel Sabor Coco,0.71,0.71,0.0,keep_global,41,0.975609756097561,0.975609756097561,0.926829268292683,0.926829268292683,0.95,0.95,40,38,1.0,1.0,0,0,0,0,0,0,8,0,0,0,0,0.0,0.0,0.71,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.024390243902439046,38,38,38,500,0.0,False,True,0.0,0.98
RANCHEIRO__RANCHEIRO BISCOITO MARIA RANCHEIRO,0.71,0.71,0.0,keep_global_unresolved_unknown_risk,35,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,1.0,1.0,34,34,1.0,1.0,0,0,0,0,0,0,37,2,2,0,0,0.05405405405405406,0.05405405405405406,0.71,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.02857142857142858,35,34,34,500,0.004,False,False,0.004,0.98
RANCHEIRO__RANCHEIRO BISCOITO QUEBRADOR RANC LIMAO,0.71,0.71,0.0,fallback_insufficient_unknown_support_keep_global,9,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.875,0.875,8,7,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.71,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.11111111111111116,8,7,7,500,0.0,False,True,0.0,0.98
RANCHEIRO__RANCHEIRO COOKIES RANCHEIRO,0.71,0.71,0.0,keep_global,15,1.0,1.0,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,15,11,0.9166666666666666,0.9166666666666666,0,0,1,1,0,0,6,0,0,0,0,0.0,0.0,0.71,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.0,12,12,11,500,0.0,True,True,0.0,0.98
RANCHEIRO__RANCHEIRO CREAM CRACKER 65 RANCHEIRO,0.71,0.71,0.0,keep_global,31,1.0,1.0,1.0,1.0,1.0,1.0,31,31,1.0,1.0,0,0,0,0,0,0,17,0,0,0,0,0.0,0.0,0.71,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.0,31,31,31,500,0.0,True,True,0.0,0.98
RANCHEIRO__RANCHEIRO ROSQUINHA BANANA-CANELA RANCHEIRO,0.71,0.71,0.0,keep_global,20,1.0,1.0,1.0,1.0,1.0,1.0,20,20,0.9523809523809523,0.9523809523809523,0,0,1,1,0,0,8,0,0,0,0,0.0,0.0,0.71,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.0,21,21,20,500,0.0,True,True,0.0,0.98
RANCHEIRO__RANCHEIRO ROSQUINHA DE COCO RANCHEIRO,0.71,0.71,0.0,keep_global,73,1.0,1.0,0.9726027397260274,0.9726027397260274,0.9726027397260274,0.9726027397260274,73,71,0.9861111111111112,0.9861111111111112,0,0,1,1,0,0,12,0,0,0,0,0.0,0.0,0.71,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.0,72,72,71,500,0.0,True,True,0.0,0.98
RANCHEIRO__RANCHEIRO ROSQUINHA RECHEADA DE MORANGO RANCHEIRO,0.71,0.71,0.0,keep_global,22,1.0,1.0,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,22,14,0.9333333333333333,0.9333333333333333,0,0,1,1,0,0,33,0,0,0,0,0.0,0.0,0.71,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.0,17,15,14,500,0.0,True,True,0.0,0.98
RANCHEIRO__RANCHEIRO WAFER RANCHEIRO BAUNILHA,0.71,0.71,0.0,keep_global,15,1.0,1.0,1.0,1.0,1.0,1.0,15,15,1.0,1.0,0,0,0,0,0,0,12,0,0,0,0,0.0,0.0,0.71,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.0,15,15,15,500,0.0,True,True,0.0,0.98
RANCHEIRO__RANCHEIRO WAFER RANCHEIRO CHOCOLATE,0.71,0.71,0.0,keep_global,17,1.0,1.0,1.0,1.0,1.0,1.0,17,17,1.0,1.0,0,0,0,0,0,0,21,0,0,0,0,0.0,0.0,0.71,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.0,17,17,17,500,0.0,True,True,0.0,0.98
RANCHEIRO__RANCHEIRO WAFER RANCHEIRO LIMAO,0.71,0.71,0.0,keep_global,14,1.0,1.0,1.0,1.0,1.0,1.0,14,14,1.0,1.0,0,0,0,0,0,0,12,0,0,0,0,0.0,0.0,0.71,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.0,14,14,14,500,0.0,True,True,0.0,0.98
Adoralle__Adoralle Alimentos Laminados Doces Maizena,0.71,0.72,0.010000000000000009,raised_meets_unknown_false_accept_target,20,1.0,1.0,1.0,1.0,1.0,1.0,20,20,1.0,1.0,0,0,0,0,0,0,26,1,0,0,1,0.038461538461538464,0.0,0.72,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.0,20,20,20,500,0.0,True,True,0.002,0.98
RANCHEIRO__RANCHEIRO BISCOITO MAIZENA RANCHEIRO,0.71,0.76,0.050000000000000044,raised_meets_unknown_false_accept_target,27,1.0,1.0,1.0,1.0,1.0,1.0,27,27,1.0,1.0,0,0,0,0,0,0,48,6,0,0,6,0.125,0.0,0.76,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.0,27,27,27,500,0.0,True,True,0.012,0.98
RANCHEIRO__RANCHEIRO CREAM CRACKER RANCHEIRO,0.71,0.78,0.07000000000000006,raised_meets_unknown_false_accept_target,86,1.0,1.0,1.0,1.0,1.0,1.0,86,86,1.0,1.0,0,0,0,0,0,0,53,1,0,0,1,0.018867924528301886,0.0,0.78,False,10,2,12,500,0.02,0.004,1,0,0.005,15,0.01,0.03,0.0,86,86,86,500,0.0,True,True,0.002,0.98
